Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Sulawesi Tenggara,5714.36,3970.35,0.0,29193.47,2948.47,42058.43,39793.76,46924.01,22.6,23.0,26479.23,4428.45,4741.4,5410.7,0.06,19724.78,25427.86,8.49,54750.93,43687.69,0.0,11387.47,16167.43,693.0,0.0,0.1
Gorontalo,555.25,371.0,0.0,49.51,0.0,110397.35,7383.0,6037.2,0.0,0.0,3704.45,0.0,1627.5,45.0,0.0,249.3,2514.0,0.0,17745.3,64783.7,0.0,0.0,4694.2,0.59,0.0,0.0
Sulawesi Barat,1012.37,9687.22,0.0,13264.55,47.0,28149.22,16244.98,13012.14,0.0,100.0,13234.99,55.0,1504.09,49.2,0.0,5594.87,2376.3,8.0,15399.34,18637.67,139.0,20221.33,7135.92,0.0,0.0,1.53
Maluku,3623.13,3250.44,0.0,6295.07,9134.84,30216.64,11470.71,22169.16,516.72,96.0,18513.78,3793.88,1139.5,594.5,83.18,18534.94,9602.83,0.0,16794.38,20254.2,49.0,1261.3,18504.96,0.42,0.0,0.0
Maluku Utara,11846.86,3338.76,0.0,7037.81,4185.82,56959.77,27684.38,19120.5,0.0,0.0,24780.34,93.0,5554.19,616.0,0.0,17219.13,11466.05,0.0,42871.74,121185.81,0.0,493.65,70249.72,0.0,0.0,0.1
Papua Barat,156.75,344.41,0.0,1530.96,598.45,3932.5,2863.37,2770.4,0.0,0.0,1673.7,84.97,161.6,26.35,0.0,3073.25,30.92,0.0,1238.67,3351.71,0.0,482.91,326.94,0.0,0.0,0.0
Papua Barat Daya,419.0,6.0,0.0,10491.15,2129.85,30215.61,7912.61,23732.64,324.3,0.0,2917.6,80.0,232.0,796.0,0.0,10227.0,2267.0,0.0,12454.74,4812.85,0.0,1426.5,3967.2,0.0,0.0,0.0
Papua,759.5,1066.0,0.0,19249.8,99.25,1442.0,1559.5,29457.5,1170.0,0.0,2209.65,10609.0,1226.0,815.0,0.0,21132.5,2250.0,0.0,4105.75,6100.25,0.0,491.35,535.0,0.0,0.0,0.0
Papua Selatan,3238.69,999.0,0.0,3533.41,7115.04,15287.56,14104.79,10688.41,766.51,0.0,8650.75,14398.55,192.6,1940.0,0.0,11389.2,4285.25,0.0,10586.17,30641.25,0.0,7863.05,0.04,0.0,0.0,0.0
Papua Tengah,8793.0,2.0,0.0,17791.55,15870.2,26407.0,16909.0,31693.0,12.13,0.0,18758.0,9860.93,2151.0,18168.0,0.0,14856.6,28805.8,0.0,16271.0,13905.5,223.7,9783.0,663.0,0.0,0.0,0.0
Papua Pegunungan,130.7,496.5,55.7,402.6,542.9,253.6,430.8,34.5,0.0,155.2,402.1,295.2,1751.85,0.0,0.0,25.0,0.0,0.0,22.3,227.6,59.2,13.0,80.7,0.0,0.0,0.0
Indonesia,6049076.7,21861568.44,368616.73,1718827.65,3040628.95,17431254.35,2845721.9,3207123.27,1834913.52,12495928.09,4131375.86,13999169.82,4231493.15,1139648.58,67500.53,6511039.92,3630095.45,441148.98,6820915.88,12279486.1,6517285.33,3871164.47,13279127.34,391216.99,25172.15,18068.05
